Record_ID,Date,Time,Zone,Area,Mobility_Demand,Trip_Count,Weather_Condition,Available_Vehicles,Delay_Minutes,Mode_of_Transportation,Latitude,Longitude,Possible_Reason
1,2025-01-01,08:15:00,South,Koramangala,83.9,77,Cloudy,63,2.5,Metro,12.9352,77.6245,Typical morning peak-hour commuter demand
2,2025-01-01,14:30:00,East,Indiranagar,52.9,48,Foggy,89,1.0,Bike,12.9719,77.6412,Afternoon demand slightly reduced due to foggy conditions
3,2025-01-01,19:15:00,South,Jayanagar,100.6,95,Rainy,58,2.8,Metro,12.9308,77.5838,Evening travel demand increased due to rainy weather
4,2025-01-02,08:15:00,Central,Richmond Town,103.8,88,Sunny,58,3.2,Metro,12.9634,77.6041,Typical morning peak-hour commuter demand
5,2025-01-02,14:30:00,Central,Richmond Town,64.4,59,Rainy,74,1.4,Scooter,12.9634,77.6041,Afternoon travel demand increased due to rainy weather
6,2025-01-02,19:15:00,West,Vijayanagar,67.5,53,Rainy,83,1.5,Bus,12.9719,77.529,Evening travel demand increased due to rainy weather
7,2025-01-03,08:15:00,South,HSR Layout,98.5,85,Rainy,63,2.3,Bus,12.9121,77.6446,Morning travel demand increased due to rainy weather
8,2025-01-03,14:30:00,North,Yelahanka,38.2,35,Cloudy,94,0.7,Metro,13.1007,77.5963,Normal afternoon demand under cloudy conditions
9,2025-01-03,19:15:00,North,Malleshwaram,78.5,62,Sunny,70,2.1,Scooter,13.0035,77.5709,Typical evening peak-hour commuter demand
10,2025-01-04,08:15:00,East,Whitefield,93.9,76,Sunny,56,2.9,Bus,12.9698,77.75,Typical morning peak-hour commuter demand
11,2025-01-04,14:30:00,West,Nagarbhavi,32.7,26,Cloudy,102,0.5,Bus,12.9587,77.5041,Normal afternoon demand under cloudy conditions
12,2025-01-04,19:15:00,North,Hebbal,73.5,63,Cloudy,77,1.7,Metro,13.0358,77.597,Typical evening peak-hour commuter demand
13,2025-01-05,08:15:00,Central,Richmond Town,112.8,93,Sunny,56,3.0,Car,12.9634,77.6041,Typical morning peak-hour commuter demand
14,2025-01-05,14:30:00,East,Marathahalli,52.9,42,Foggy,81,1.2,Bus,12.9591,77.6974,Afternoon demand slightly reduced due to foggy conditions
15,2025-01-05,19:15:00,North,Malleshwaram,74.2,69,Sunny,72,1.6,Scooter,13.0035,77.5709,Typical evening peak-hour commuter demand
16,2025-01-06,08:15:00,South,Koramangala,85.7,79,Cloudy,60,2.6,Metro,12.9352,77.6245,Typical morning peak-hour commuter demand
17,2025-01-06,14:30:00,East,Whitefield,54.7,42,Cloudy,85,0.9,Metro,12.9698,77.75,Normal afternoon demand under cloudy conditions
18,2025-01-06,19:15:00,North,Hebbal,69.9,54,Sunny,73,1.4,Car,13.0358,77.597,Typical evening peak-hour commuter demand
19,2025-01-07,08:15:00,West,Nagarbhavi,57.5,43,Sunny,77,1.3,Bus,12.9587,77.5041,Typical morning peak-hour commuter demand
20,2025-01-07,14:30:00,South,Jayanagar,41.5,35,Sunny,89,0.8,Metro,12.9308,77.5838,Normal afternoon demand under sunny conditions
21,2025-01-07,19:15:00,West,Vijayanagar,62.6,52,Sunny,85,1.4,Car,12.9719,77.529,Typical evening peak-hour commuter demand
22,2025-01-08,08:15:00,East,Whitefield,98.2,76,Sunny,53,2.9,Bus,12.9698,77.75,Typical morning peak-hour commuter demand
23,2025-01-08,14:30:00,North,Yelahanka,38.9,36,Rainy,97,0.6,Metro,13.1007,77.5963,Afternoon travel demand increased due to rainy weather
24,2025-01-08,19:15:00,North,Yelahanka,77.1,70,Sunny,73,2.1,Scooter,13.1007,77.5963,Typical evening peak-hour commuter demand
25,2025-01-09,08:15:00,North,Hebbal,74.7,59,Sunny,78,1.6,Car,13.0358,77.597,Typical morning peak-hour commuter demand
26,2025-01-09,14:30:00,South,HSR Layout,44.6,41,Windy,87,0.9,Scooter,12.9121,77.6446,Afternoon demand slightly reduced due to windy conditions
27,2025-01-09,19:15:00,Central,MG Road,131.3,101,Rainy,28,7.3,Car,12.9758,77.6045,Evening travel demand increased due to rainy weather
28,2025-01-10,08:15:00,North,Malleshwaram,70.3,64,Sunny,79,1.3,Bus,13.0035,77.5709,Typical morning peak-hour commuter demand
29,2025-01-10,14:30:00,North,Yelahanka,35.0,32,Sunny,94,0.6,Bike,13.1007,77.5963,Normal afternoon demand under sunny conditions
30,2025-01-10,19:15:00,West,Rajajinagar,61.7,48,Sunny,78,1.2,Metro,12.9915,77.5525,Typical evening peak-hour commuter demand
31,2025-01-11,08:15:00,West,Rajajinagar,60.7,55,Cloudy,78,1.4,Bike,12.9915,77.5525,Typical morning peak-hour commuter demand
32,2025-01-11,14:30:00,North,Yelahanka,38.6,32,Sunny,96,0.7,Bus,13.1007,77.5963,Normal afternoon demand under sunny conditions
33,2025-01-11,19:15:00,East,Whitefield,110.5,83,Sunny,47,4.2,Bike,12.9698,77.75,Typical evening peak-hour commuter demand
34,2025-01-12,08:15:00,West,Nagarbhavi,56.1,53,Sunny,82,1.3,Bus,12.9587,77.5041,Typical morning peak-hour commuter demand
35,2025-01-12,14:30:00,South,Koramangala,47.9,37,Rainy,86,1.0,Scooter,12.9352,77.6245,Afternoon travel demand increased due to rainy weather
36,2025-01-12,19:15:00,South,HSR Layout,98.0,91,Cloudy,54,3.0,Metro,12.9121,77.6446,Typical evening peak-hour commuter demand
37,2025-01-13,08:15:00,West,Rajajinagar,74.0,62,Rainy,76,1.5,Bus,12.9915,77.5525,Morning travel demand increased due to rainy weather
38,2025-01-13,14:30:00,South,Koramangala,40.2,31,Windy,93,0.6,Car,12.9352,77.6245,Afternoon demand slightly reduced due to windy conditions
39,2025-01-13,19:15:00,East,Whitefield,110.5,87,Sunny,53,3.1,Bike,12.9698,77.75,Typical evening peak-hour commuter demand
40,2025-01-14,08:15:00,East,Whitefield,90.7,71,Sunny,69,2.3,Bus,12.9698,77.75,Typical morning peak-hour commuter demand
41,2025-01-14,14:30:00,West,Vijayanagar,30.9,29,Sunny,98,0.5,Scooter,12.9719,77.529,Normal afternoon demand under sunny conditions
42,2025-01-14,19:15:00,East,Marathahalli,108.8,94,Sunny,51,3.1,Metro,12.9591,77.6974,Typical evening peak-hour commuter demand
